Дата и время,CO,NO2,NO,PM10,Давление,Влажность,| V |,_V_,-T-,Осадки
13.01.2021 00:00,0.4,0.0467,0.015,0.021,754.5,78.9,0.2,0,-10.1,0
13.01.2021 00:20,0.4,0.0472,0.022,0.022,754.5,79,0.1,0,-10.2,0
13.01.2021 00:40,0.4,0.0478,0.025,0.022,754.5,79,0.1,0,-10.1,0
13.01.2021 01:00,0.4,0.0473,0.026,0.021,754.4,79,0.1,0,-10.1,0
13.01.2021 01:20,0.5,0.0545,0.068,0.021,754.4,79,0.1,0,-10,0
13.01.2021 01:40,0.6,0.0506,0.037,0.021,754.4,79,0.2,0,-10,0
13.01.2021 02:00,0.5,0.0505,0.033,0.02,754.5,79.1,0,183,-10.3,0
13.01.2021 02:20,0.4,0.0492,0.025,0.02,754.5,79.3,0.2,0,-10.2,0
13.01.2021 02:40,0.5,0.0507,0.032,0.02,754.5,79,0.1,0,-10.1,0
13.01.2021 03:00,0.4,0.0511,0.026,0.02,754.5,79,0.3,0,-10.5,0
13.01.2021 03:20,0.4,0.0507,0.032,0.02,754.6,79.2,0.1,0,-10.4,0
13.01.2021 03:40,0.4,0.0511,0.022,0.019,754.4,79,0.6,77,-10.5,0
13.01.2021 04:00,0.4,0.0503,0.021,0.02,754.5,79.8,0.1,0,-10.7,0
13.01.2021 04:20,0.4,0.0497,0.027,0.022,754.6,80.7,0,0,-10.3,0
13.01.2021 04:40,0.5,0.0498,0.039,0.022,754.5,80,0.1,0,-10.2,0
13.01.2021 05:00,0.5,0.0499,0.03,0.021,754.4,79.4,0.3,77,-10.4,0
13.01.2021 05:20,0.5,0.0486,0.033,0.021,754.3,79.9,0.1,0,-10.6,0
13.01.2021 05:40,0.4,0.05,0.024,0.021,754.1,79.2,0.5,78,-10.7,0
13.01.2021 06:00,0.4,0.0498,0.019,0.021,754.1,79,0.4,73,-10.8,0
13.01.2021 06:20,0.4,0.05,0.02,0.021,754.1,79,0.8,73,-10.9,0
13.01.2021 06:40,0.4,0.0498,0.016,0.021,754.1,78.7,0.7,50,-11,0
13.01.2021 07:00,0.4,0.0502,0.028,0.022,754.3,79,0.2,100,-10.9,0
13.01.2021 07:20,0.5,0.0522,0.039,0.022,754.3,79,0.1,140,-10.6,0
13.01.2021 07:40,0.5,0.0522,0.037,0.022,754.3,78.7,0.5,71,-10.7,0
13.01.2021 08:00,0.4,0.0537,0.035,0.023,754.2,79,0.4,109,-11,0
13.01.2021 08:20,0.4,0.0569,0.05,0.025,754.2,79,0.4,0,-10.9,0
13.01.2021 08:40,0.4,0.054,0.033,0.027,754.4,79,0.2,60,-10.9,0
13.01.2021 09:00,0.5,0.0527,0.034,0.027,754.4,78.5,0.3,0,-10.9,0
13.01.2021 09:20,0.5,0.0519,0.034,0.027,754.6,78.5,0.3,64,-11,0
13.01.2021 09:40,0.5,0.0498,0.032,0.026,754.8,79,0.4,65,-10.9,0
13.01.2021 10:00,0.5,0.0494,0.032,0.026,755,78.4,0.7,75,-10.9,0
13.01.2021 10:20,0.5,0.0495,0.037,0.025,754.9,78,0.9,59,-10.9,0
13.01.2021 10:40,0.4,0.0489,0.039,0.024,754.9,78,0.7,64,-10.9,0
13.01.2021 11:00,0.3,0.0467,0.035,0.024,754.8,78,0.9,0,-10.8,0
13.01.2021 11:20,0.3,0.0515,0.038,0.023,754.9,78,0.8,86,-10.7,0
13.01.2021 11:40,0.3,0.0498,0.035,0.023,754.8,77.8,1,98,-10.7,0
13.01.2021 12:00,0.3,0.0485,0.032,0.024,754.9,78,0.9,88,-10.7,0
13.01.2021 12:20,0.3,0.046,0.031,0.024,754.8,78,1,0,-10.6,0
13.01.2021 12:40,0.3,0.0458,0.032,0.025,754.6,77.7,1.2,89,-10.4,0
13.01.2021 13:00,0.4,0.0456,0.039,0.026,754.4,77,1,62,-10.3,0
13.01.2021 13:20,0.3,0.0431,0.035,0.028,754.3,77,0.9,79,-10.3,0
13.01.2021 13:40,0.3,0.0456,0.036,0.028,754.1,77,0.7,56,-10.1,0
13.01.2021 14:00,0.3,0.0439,0.029,0.025,753.9,76.9,0.7,47,-10.1,0
13.01.2021 14:20,0.4,0.0442,0.029,0.023,753.7,76.9,0.5,0,-10.1,0
13.01.2021 14:40,0.4,0.0443,0.028,0.023,753.5,77,0.5,16,-10.2,0
13.01.2021 15:00,0.3,0.0407,0.019,0.022,753.4,76.1,1.1,79,-10.5,0
13.01.2021 15:20,0.3,0.0401,0.016,0.021,753.4,76,1.2,108,-10.9,0
13.01.2021 15:40,0.2,0.0422,0.015,0.021,753.4,76.1,1.6,108,-11.1,0
13.01.2021 16:00,0.3,0.0473,0.017,0.022,753.5,76.8,0.9,62,-11.2,0
13.01.2021 16:20,0.4,0.0555,0.021,0.023,753.4,77,0.4,63,-11.2,0
13.01.2021 16:40,0.3,0.0528,0.017,0.023,753.3,77,0.5,0,-11.2,0
13.01.2021 17:00,0.3,0.053,0.016,0.024,753.4,77.1,0.6,0,-11.2,0
13.01.2021 17:20,0.3,0.0528,0.015,0.024,753.4,77.7,1.3,68,-11.3,0
13.01.2021 17:40,0.3,0.0518,0.014,0.022,753.3,78,1.2,0,-11.4,0
13.01.2021 18:00,0.3,0.052,0.015,0.02,753,78,0.4,0,-11.4,0
13.01.2021 18:20,0.3,0.0525,0.017,0.02,752.8,78.3,0.3,0,-11.3,0
13.01.2021 18:40,0.3,0.051,0.015,0.021,752.8,78,1.1,0,-11.4,0
13.01.2021 19:00,0.2,0.0485,0.01,0.019,752.6,78,1.6,100,-11.4,0
13.01.2021 19:20,0.2,0.0484,0.009,0.018,752.3,78,0.7,108,-11.4,0
13.01.2021 19:40,0.2,0.0466,0.008,0.017,752.1,78,0.7,100,-11.4,0
13.01.2021 20:00,0.2,0.0423,0.005,0.017,752.1,77.5,1,349,-11.5,0
13.01.2021 20:20,0.2,0.0401,0.004,0.015,751.9,77.2,0.6,4,-11.5,0
13.01.2021 20:40,0.2,0.0396,0.004,0.015,751.8,77,0.5,69,-11.5,0
13.01.2021 21:00,0.2,0.0397,0.004,0.014,751.6,76.1,0.9,0,-11.5,0
13.01.2021 21:20,0.2,0.0362,0.003,0.014,751.4,76,0.8,0,-11.8,0
13.01.2021 21:40,0.2,0.0354,0.003,0.013,751.1,75.3,0.6,0,-11.9,0
13.01.2021 22:00,0.2,0.0333,0.002,0.012,750.6,74.6,1.2,62,-11.9,0
13.01.2021 22:20,0.1,0.0328,0.002,0.011,750.2,73.9,1.3,60,-11.9,0
13.01.2021 22:40,0.1,0.0322,0.001,0.011,750.1,73.1,1.4,90,-11.8,0
13.01.2021 23:00,0.2,0.0337,0.001,0.011,749.8,73.5,1.2,57,-11.7,0
13.01.2021 23:20,0.2,0.0289,0.001,0.012,749.6,74.9,1.3,66,-11.9,0
13.01.2021 23:40,0.2,0.0288,0.001,0.014,749.3,76.7,1.5,77,-11.9,0
14.01.2021 00:00,0.2,0.0301,0.001,0.013,748.9,78,0.9,50,-11.9,0
14.01.2021 00:20,0.2,0.032,0.001,0.013,748.5,78.6,1.3,68,-11.7,0
14.01.2021 00:40,0.2,0.0341,0.001,0.016,748.1,78,1.4,0,-11.9,0
14.01.2021 01:00,0.2,0.0328,0.001,0.015,747.6,78.4,0.9,0,-12.1,0
14.01.2021 01:20,0.2,0.029,0.001,0.015,747.6,79,0.8,34,-12,0.3
14.01.2021 01:40,0.2,0.0247,0.001,0.02,747.3,79,1,0,-11.7,0.3
