Дата и время,CO,NO2,NO,PM10_GRIMM,PM25_GRIMM,Давление,Влажность,| V |,_V_,-T-,Осадки
13.01.2021 0:00,0.3,,,,,756.7,73,0.1,0,-12.1,0
13.01.2021 0:20,0.3,,,,,756.7,74,0.2,0,-12.1,0
13.01.2021 0:40,0.3,,,,,756.6,74,0.2,0,-12,0
13.01.2021 1:00,0.3,,,,,756.6,74,0.1,0,-12,0
13.01.2021 1:20,0.3,,,,,756.6,74,0,0,-11.9,0
13.01.2021 1:40,0.3,,,,,756.6,74,0.1,41,-11.9,0
13.01.2021 2:00,0.3,,,,,756.6,74,0.1,0,-12,0
13.01.2021 2:20,0.2,,,,,756.7,74,0.2,0,-12,0
13.01.2021 2:40,0.3,,,,,756.7,73,0.2,0,-12,0
13.01.2021 3:00,0.2,,,,,756.7,74,0.2,0,-11.9,0
13.01.2021 3:20,0.2,,,,,756.8,73,0.2,0,-12,0
13.01.2021 3:40,0.2,,,,,756.6,73,0.2,50,-12,0
13.01.2021 4:00,0.2,,,,,756.6,73,0.4,0,-12.1,0
13.01.2021 4:20,0.2,,,,,756.8,73,0.3,0,-12.1,0
13.01.2021 4:40,0.2,,,,,756.7,73,0.3,0,-12.1,0
13.01.2021 5:00,0.2,,,,,756.6,74,0.2,0,-12.1,0
13.01.2021 5:20,0.2,,,,,756.5,74,0.1,58,-12,0
13.01.2021 5:40,0.2,,,,,756.4,73,0.5,0,-12.1,0
13.01.2021 6:00,0.2,,,,,756.3,73,0.2,74,-12.1,0
13.01.2021 6:20,0.2,,,,,756.3,73,0.3,0,-12.1,0
13.01.2021 6:40,0.2,,,,,756.3,73,0.2,0,-12.1,0
13.01.2021 7:00,0.2,,,,,756.4,73,0.4,68,-12.1,0
13.01.2021 7:20,0.2,,,,,756.4,72,0.1,0,-12,0
13.01.2021 7:40,0.3,,,,,756.5,72,0.3,0,-12,0
13.01.2021 8:00,0.3,,,,,756.4,73,0.1,0,-11.9,0
13.01.2021 8:20,0.3,,,,,756.4,73,0.1,0,-11.9,0
13.01.2021 8:40,0.3,,,,,756.4,72,0.2,0,-11.9,0
13.01.2021 9:00,0.3,,,,,756.6,72,0.3,56,-11.9,0
13.01.2021 9:20,0.3,,,,,756.7,72,0.5,0,-12.1,0
13.01.2021 9:40,0.3,,,,,757,72,0.5,50,-12.1,0
13.01.2021 10:00,0.3,,,,,757.2,72,0.2,0,-12.2,0
13.01.2021 10:20,0.3,,,,,757.2,72,0.2,0,-12.1,0
13.01.2021 10:40,0.3,,,,,757.2,72,0.1,0,-12,0
13.01.2021 11:00,0.3,,,,,757.1,72,0,0,-11.8,0
13.01.2021 11:20,0.3,,,,,757.1,72,0,0,-11.6,0
13.01.2021 11:40,0.3,,,,,757.1,72,0.2,0,-11.5,0
13.01.2021 12:00,0.3,,,,,757.1,71,0.2,0,-11.4,0
13.01.2021 12:20,0.3,,,,,757,71,0.3,0,-11.3,0
13.01.2021 12:40,0.3,,,,,756.8,71,0.2,0,-11.3,0
13.01.2021 13:00,0.3,,,,,756.7,71,0.3,0,-11.2,0
13.01.2021 13:20,0.3,,,,,756.6,71,0,0,-11,0
13.01.2021 13:40,0.3,,,,,756.4,71,0,0,-10.7,0
13.01.2021 14:00,0.4,,,,,756.2,71,0.1,0,-10.6,0
13.01.2021 14:20,0.4,,,,,756,71,0.2,0,-10.7,0
13.01.2021 14:40,0.4,,,,,755.8,71,0,0,-10.6,0
13.01.2021 15:00,0.4,,,,,755.6,71,0.2,84,-10.7,0
13.01.2021 15:20,0.3,,,,,755.6,71,0.7,74,-11.2,0
13.01.2021 15:40,0.3,,,,,755.7,72,0.3,37,-11.3,0
