Дата и время,CO,NO2,NO,PM10,PM2.5,Давление,Влажность,| V |,_V_,-T-,Осадки,,,,,
16.01.2021 00:00,0.5,0.038,0.041,0.023,0.016,,,,,,,,,,,
16.01.2021 00:20,0.5,0.037,0.037,0.023,0.018,,,,,,,,,,,
16.01.2021 00:40,0.4,0.036,0.025,0.02,0.016,,,,,,,,,,,
16.01.2021 01:00,0.4,0.034,0.019,0.018,0.013,,,,,,,,,,,
16.01.2021 01:20,0.3,0.034,0.018,0.019,0.014,,,,,,,,,,,
16.01.2021 01:40,0.3,0.034,0.017,0.017,0.011,,,,,,,,,,,
16.01.2021 02:00,0.3,0.033,0.016,0.017,0.013,,,,,,,,,,,
16.01.2021 02:20,0.1,0.033,0.016,0.016,0.012,,,,,,,,,,,
16.01.2021 02:40,0.1,0.033,0.016,0.015,0.01,,,,,,,,,,,
16.01.2021 03:00,0.2,0.033,0.017,0.017,0.011,,,,,,,,,,,
16.01.2021 03:20,0.1,0.033,0.017,0.015,0.01,,,,,,,,,,,
16.01.2021 03:40,0.1,0.033,0.013,0.017,0.012,,,,,,,,,,,
16.01.2021 04:00,0.1,0.032,0.01,0.015,0.011,,,,,,,,,,,
16.01.2021 04:20,0.1,0.032,0.011,0.014,0.011,,,,,,,,,,,
16.01.2021 04:40,0.1,0.033,0.013,0.016,0.014,,,,,,,,,,,
16.01.2021 05:00,0.1,0.031,0.009,0.015,0.013,,,,,,,,,,,
16.01.2021 05:20,0.1,0.028,0.007,0.016,0.014,,,,,,,,,,,
16.01.2021 05:40,0.1,0.029,0.007,0.02,0.017,,,,,,,,,,,
16.01.2021 06:00,0.1,0.03,0.007,0.022,0.018,,,,,,,,,,,
16.01.2021 06:20,0.1,0.03,0.008,0.021,0.014,,,,,,,,,,,
16.01.2021 06:40,0.1,0.031,0.008,0.019,0.012,,,,,,,,,,,
16.01.2021 07:00,0.1,0.031,0.009,0.014,0.009,,,,,,,,,,,
16.01.2021 07:20,0.1,0.031,0.009,0.016,0.012,,,,,,,,,,,
16.01.2021 07:40,0.1,0.031,0.009,0.015,0.01,,,,,,,,,,,
16.01.2021 08:00,0.1,0.032,0.01,0.013,0.008,,,,,,,,,,,
16.01.2021 08:20,0.1,0.031,0.01,0.016,0.01,,,,,,,,,,,
16.01.2021 08:40,0.1,0.031,0.012,0.014,0.009,,,,,,,,,,,
16.01.2021 09:00,0.1,0.031,0.018,0.014,0.01,,,,,,,,,,,
16.01.2021 09:20,0.1,0.032,0.019,0.014,0.01,,,,,,,,,,,
16.01.2021 09:40,0.1,0.033,0.017,0.015,0.009,,,,,,,,,,,
16.01.2021 10:00,0.1,0.032,0.016,0.018,0.012,,,,,,,,,,,
16.01.2021 10:20,0.1,0.031,0.018,0.026,0.01,,,,,,,,,,,
16.01.2021 10:40,0.2,0.031,0.019,0.023,0.009,,,,,,,,,,,
16.01.2021 11:00,0.3,0.031,0.023,0.021,0.013,,,,,,,,,,,
16.01.2021 11:20,0.2,0.03,0.019,0.018,0.01,,,,,,,,,,,
16.01.2021 11:40,0.1,0.026,0.013,0.017,0.009,,,,,,,,,,,
16.01.2021 12:00,0.2,0.028,0.016,0.018,0.012,,,,,,,,,,,
16.01.2021 12:20,0.1,0.026,0.015,0.017,0.011,,,,,,,,,,,
16.01.2021 12:40,0.2,0.028,0.016,0.021,0.013,,,,,,,,,,,
16.01.2021 13:00,0.2,0.027,0.015,0.02,0.011,,,,,,,,,,,
16.01.2021 13:20,0.1,0.027,0.016,0.02,0.011,,,,,,,,,,,
16.01.2021 13:40,0.2,0.028,0.017,0.017,0.01,,,,,,,,,,,
16.01.2021 14:00,0.2,0.028,0.016,0.017,0.011,,,,,,,,,,,
16.01.2021 14:20,0.5,0.029,0.016,0.018,0.013,,,,,,,,,,,
16.01.2021 14:40,0.4,0.028,0.014,0.018,0.01,,,,,,,,,,,
16.01.2021 15:00,0.5,0.026,0.012,0.02,0.013,,,,,,,,,,,
16.01.2021 15:20,0.4,0.026,0.01,0.021,0.011,,,,,,,,,,,
16.01.2021 15:40,0.4,0.027,0.01,0.026,0.011,,,,,,,,,,,
16.01.2021 16:00,0.4,0.028,0.009,0.021,0.011,,,,,,,,,,,
16.01.2021 16:20,0.4,0.03,0.01,0.024,0.013,,,,,,,,,,,
16.01.2021 16:40,0.5,0.033,0.011,0.023,0.015,,,,,,,,,,,
16.01.2021 17:00,0.5,0.034,0.012,0.022,0.013,,,,,,,,,,,
16.01.2021 17:20,0.5,0.034,0.012,0.022,0.015,,,,,,,,,,,
16.01.2021 17:40,0.5,0.032,0.011,0.023,0.015,,,,,,,,,,,
16.01.2021 18:00,0.5,0.032,0.01,0.024,0.015,,,,,,,,,,,
16.01.2021 18:20,0.5,0.031,0.01,0.023,0.016,,,,,,,,,,,
16.01.2021 18:40,0.5,0.032,0.011,0.021,0.017,,,,,,,,,,,
16.01.2021 19:00,0.5,0.031,0.008,0.024,0.017,,,,,,,,,,,
16.01.2021 19:20,0.5,0.031,0.008,0.027,0.019,,,,,,,,,,,
16.01.2021 19:40,0.6,0.031,0.009,0.025,0.016,,,,,,,,,,,
16.01.2021 20:00,0.6,0.031,0.009,0.024,0.016,,,,,,,,,,,
16.01.2021 20:20,0.5,0.031,0.009,0.023,0.015,,,,,,,,,,,
16.01.2021 20:40,0.5,0.03,0.008,0.02,0.013,,,,,,,,,,,
16.01.2021 21:00,0.5,0.03,0.008,0.02,0.014,,,,,,,,,,,
16.01.2021 21:20,0.4,0.028,0.006,0.019,0.011,,,,,,,,,,,
16.01.2021 21:40,1.2,0.027,0.005,0.019,0.012,,,,,,,,,,,
16.01.2021 22:00,0.4,0.029,0.006,0.016,0.011,,,,,,,,,,,
16.01.2021 22:20,0.4,0.027,0.006,0.011,0.009,,,,,,,,,,,
16.01.2021 22:40,0.4,0.025,0.004,0.017,0.011,,,,,,,,,,,
16.01.2021 23:00,0.4,0.023,0.003,0.015,0.011,,,,,,,,,,,
16.01.2021 23:20,0.4,0.021,0.003,0.017,0.01,,,,,,,,,,,
16.01.2021 23:40,0.4,0.023,0.004,0.017,0.011,,,,,,,,,,,
17.01.2021 00:00,0.4,0.024,0.003,0.014,0.01,,,,,,,,,,,
17.01.2021 00:20,0.4,0.022,0.003,0.015,0.011,,,,,,,,,,,
17.01.2021 00:40,0.4,0.02,0.003,0.016,0.01,,,,,,,,,,,
17.01.2021 01:00,0.4,0.02,0.002,0.012,0.008,,,,,,,,,,,
17.01.2021 01:20,0.3,0.021,0.002,0.014,0.011,,,,,,,,,,,
17.01.2021 01:40,0.3,0.019,0.002,0.013,0.009,,,,,,,,,,,
17.01.2021 02:00,0.3,0.017,0.002,0.012,0.01,,,,,,,,,,,
17.01.2021 02:20,0.3,0.016,0.001,0.016,0.013,,,,,,,,,,,
17.01.2021 02:40,0.3,0.017,0.002,0.013,0.01,,,,,,,,,,,
17.01.2021 03:00,0.2,0.017,0.001,0.013,0.011,,,,,,,,,,,
17.01.2021 03:20,0.2,0.018,0.002,0.015,0.012,,,,,,,,,,,
