Дата и время,CO,NO2,NO,PM10,PM2.5,Давление,Влажность,| V |,_V_,-T-,Осадки
07.04.2021 00:00,0.1,0.0621,0.001,0.037,0.011,739.8,65.5,0.6,21,8,0
07.04.2021 00:20,0.1,0.0633,0.002,0.036,0.013,739.8,66,0.6,4,7.9,0
07.04.2021 00:40,0.1,0.0508,0.001,0.028,0.01,739.7,68.2,0.6,0,7.4,0
07.04.2021 01:00,0.1,0.0436,0.001,0.022,0.011,739.9,70.2,1.1,22,7,0
07.04.2021 01:20,0.1,0.042,0.001,0.019,0.011,739.9,71.9,1.1,324,6.7,0
07.04.2021 01:40,0.1,0.0444,0.001,0.018,0.01,739.9,72.6,1,4,6.5,0
07.04.2021 02:00,0.1,0.0408,0.001,0.017,0.011,739.9,73.7,0.9,81,6.3,0
07.04.2021 02:20,0.1,0.0352,0.001,0.017,0.009,739.8,75.6,1,0,6.1,0
07.04.2021 02:40,0.1,0.0349,0,0.015,0.009,739.7,77.7,0.3,0,5.9,0
07.04.2021 03:00,0.1,0.0349,0.001,0.016,0.01,739.6,78.3,0.7,0,5.8,0
07.04.2021 03:20,0.1,0.0365,0,0.017,0.011,739.5,77.7,0.4,0,5.8,0
07.04.2021 03:40,0.1,0.0364,0,0.015,0.01,739.4,77,0.4,0,5.8,0
07.04.2021 04:00,0.1,0.036,0.001,0.016,0.01,739.3,77,0.1,73,5.7,0
07.04.2021 04:20,0.1,0.0439,0.001,0.017,0.011,739.3,77,0.3,85,5.7,0
07.04.2021 04:40,0.1,0.0664,0.002,0.023,0.013,739.2,76.5,0.2,0,5.8,0
07.04.2021 05:00,0.1,0.071,0.003,0.025,0.012,739.1,75.8,0.3,137,5.9,0
07.04.2021 05:20,0.1,0.0738,0.004,0.032,0.016,739,74.1,0.5,147,6,0
07.04.2021 05:40,0.1,0.0758,0.005,0.035,0.016,739,73,0.6,199,6,0
07.04.2021 06:00,0.1,0.0745,0.004,0.037,0.017,739,73,0.5,0,5.9,0
07.04.2021 06:20,0.1,0.0752,0.006,0.039,0.017,739,73.3,0.5,160,5.9,0
07.04.2021 06:40,0.2,0.0752,0.012,0.038,0.017,738.9,73.6,0.9,169,5.8,0
