Дата и время,CO,NO2,NO,PM10,PM2.5,Давление,Влажность,| V |,_V_,-T-,Осадки,,,,
19.09.2021 00:00,,0.0208,0.001,0.011,0.008,,,,,,,,,,
19.09.2021 00:20,,0.0258,0.002,0.012,0.01,,,,,,,,,,
19.09.2021 00:40,,0.0203,0.001,0.009,0.009,,,,,,,,,,
19.09.2021 01:00,,0.0179,0,0.011,0.01,,,,,,,,,,
19.09.2021 01:20,,0.0159,0.001,0.013,0.01,,,,,,,,,,
19.09.2021 01:40,,0.0138,0.001,0.01,0.008,,,,,,,,,,
19.09.2021 02:00,,0.013,0,0.009,0.008,,,,,,,,,,
19.09.2021 02:20,,0.0124,0.001,0.009,0.008,,,,,,,,,,
19.09.2021 02:40,,0.0124,0,0.011,0.009,,,,,,,,,,
19.09.2021 03:00,,0.0119,0,0.01,0.007,,,,,,,,,,
19.09.2021 03:20,,0.0113,0,0.01,0.008,,,,,,,,,,
19.09.2021 03:40,,0.0109,0,0.01,0.008,,,,,,,,,,
19.09.2021 04:00,,0.0102,0,0.011,0.008,,,,,,,,,,
19.09.2021 04:20,,0.0086,0,0.009,0.006,,,,,,,,,,
19.09.2021 04:40,,0.0091,0,0.009,0.006,,,,,,,,,,
19.09.2021 05:00,,0.012,0,0.009,0.006,,,,,,,,,,
19.09.2021 05:20,,0.0322,0.004,0.011,0.006,,,,,,,,,,
19.09.2021 05:40,,0.036,0.006,0.009,0.006,,,,,,,,,,
19.09.2021 06:00,,0.0321,0.004,0.012,0.008,,,,,,,,,,
19.09.2021 06:20,,0.0211,0.001,0.012,0.007,,,,,,,,,,
19.09.2021 06:40,,0.0169,0.001,0.014,0.007,,,,,,,,,,
19.09.2021 07:00,,0.0299,0.006,0.015,0.009,,,,,,,,,,
19.09.2021 07:20,,0.0329,0.011,0.014,0.009,,,,,,,,,,
19.09.2021 07:40,,0.0318,0.013,0.014,0.008,,,,,,,,,,
19.09.2021 08:00,,0.0325,0.014,0.015,0.009,,,,,,,,,,
19.09.2021 08:20,,0.0321,0.015,0.016,0.009,,,,,,,,,,
19.09.2021 08:40,,0.0317,0.019,0.018,0.009,,,,,,,,,,
