FileFormat:0002.2 file with temperature of atmosphere
200
local	GMT or Local
0	GMT-Local=[hours]
0	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
59,40	Freq[GHz]
0,00	dTemostat[K]
0,150	MessErr[K]
0,248	//[grad/step]
version 14.0.20110218
MTP5H033F5940K-33.00D180214+A1.1
Commentary:
enter comment
End Of Commentary

SYSTEM\alaska.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	OutsideTemperature	Quality
16/01/2021 00:00:00	-15,54	-17,23	-17,65	-17,50	-17,18	-16,88	-16,58	-16,33	-15,98	-15,61	-15,36	-15,13	-14,91	-15,48	0
16/01/2021 00:05:00	-15,54	-17,19	-17,79	-17,61	-17,25	-16,90	-16,49	-16,09	-15,63	-15,18	-14,87	-14,61	-14,35	-15,53	0
16/01/2021 00:10:00	-15,60	-17,25	-17,74	-17,60	-17,23	-16,91	-16,56	-16,22	-15,80	-15,37	-15,08	-14,82	-14,56	-15,63	0
16/01/2021 00:15:00	-15,56	-17,42	-17,91	-17,57	-17,12	-16,69	-16,26	-15,90	-15,49	-15,08	-14,83	-14,62	-14,41	-15,73	0
16/01/2021 00:20:00	-15,67	-17,51	-17,99	-17,64	-17,17	-16,82	-16,46	-16,17	-15,79	-15,40	-15,17	-14,98	-14,80	-15,75	0
16/01/2021 00:25:00	-15,73	-17,52	-18,00	-17,80	-17,41	-17,02	-16,62	-16,26	-15,85	-15,43	-15,14	-14,89	-14,64	-15,83	0
16/01/2021 00:30:00	-15,80	-17,49	-18,02	-17,80	-17,40	-17,04	-16,65	-16,28	-15,85	-15,41	-15,11	-14,84	-14,57	-15,83	0
16/01/2021 00:35:00	-15,89	-17,56	-18,10	-17,93	-17,67	-17,27	-16,86	-16,51	-16,10	-15,68	-15,40	-15,14	-14,87	-15,78	0
16/01/2021 00:40:00	-15,81	-17,64	-18,13	-17,84	-17,48	-17,06	-16,66	-16,34	-15,96	-15,57	-15,31	-15,08	-14,85	-15,84	0
16/01/2021 00:45:00	-15,88	-17,62	-18,03	-17,81	-17,37	-17,05	-16,73	-16,43	-16,05	-15,64	-15,38	-15,15	-14,92	-15,87	0
16/01/2021 00:50:00	-15,90	-17,60	-18,13	-17,94	-17,51	-17,10	-16,65	-16,23	-15,76	-15,29	-14,98	-14,69	-14,41	-15,90	0
16/01/2021 00:55:00	-15,86	-17,62	-18,13	-18,01	-17,76	-17,14	-16,57	-16,11	-15,68	-15,23	-14,92	-14,61	-14,31	-15,87	0
16/01/2021 01:00:00	-15,82	-17,55	-18,01	-17,81	-17,39	-16,96	-16,50	-16,09	-15,64	-15,19	-14,87	-14,59	-14,31	-15,85	0
16/01/2021 01:05:00	-15,81	-17,61	-18,10	-17,92	-17,50	-16,96	-16,42	-15,96	-15,49	-15,03	-14,72	-14,43	-14,14	-15,80	0
16/01/2021 01:10:00	-15,79	-17,50	-18,01	-17,85	-17,45	-16,96	-16,44	-15,97	-15,49	-15,01	-14,68	-14,37	-14,06	-15,85	0
16/01/2021 01:15:00	-15,72	-17,44	-18,03	-17,93	-17,69	-17,09	-16,49	-15,98	-15,50	-15,03	-14,68	-14,35	-14,02	-15,80	0
16/01/2021 01:20:00	-15,76	-17,40	-17,94	-17,88	-17,61	-17,11	-16,59	-16,13	-15,67	-15,21	-14,88	-14,56	-14,25	-15,85	0
16/01/2021 01:25:00	-15,72	-17,46	-17,94	-17,77	-17,46	-17,03	-16,61	-16,25	-15,85	-15,43	-15,14	-14,87	-14,61	-15,81	0
16/01/2021 01:30:00	-15,74	-17,40	-17,93	-17,85	-17,60	-17,09	-16,57	-16,13	-15,69	-15,24	-14,91	-14,60	-14,29	-15,77	0
16/01/2021 01:35:00	-15,79	-17,50	-17,96	-17,84	-17,56	-17,12	-16,69	-16,33	-15,94	-15,52	-15,22	-14,94	-14,66	-15,79	0
16/01/2021 01:40:00	-15,67	-17,43	-17,88	-17,64	-17,26	-16,96	-16,65	-16,38	-16,02	-15,64	-15,41	-15,21	-15,02	-15,71	0
16/01/2021 01:45:00	-15,69	-17,39	-17,87	-17,72	-17,59	-17,10	-16,66	-16,34	-16,01	-15,63	-15,38	-15,14	-14,89	-15,73	0
16/01/2021 01:50:00	-15,67	-17,35	-17,91	-17,82	-17,55	-17,12	-16,68	-16,30	-15,87	-15,44	-15,14	-14,86	-14,58	-15,70	0
16/01/2021 01:55:00	-15,69	-17,39	-17,98	-17,96	-17,65	-17,22	-16,73	-16,27	-15,78	-15,29	-14,94	-14,61	-14,28	-15,69	0
16/01/2021 02:00:00	-15,70	-17,39	-17,89	-17,70	-17,42	-17,10	-16,77	-16,49	-16,13	-15,75	-15,50	-15,28	-15,05	-15,72	0
16/01/2021 02:05:00	-15,70	-17,40	-17,99	-17,83	-17,46	-17,19	-16,86	-16,53	-16,09	-15,65	-15,36	-15,10	-14,85	-15,72	0
16/01/2021 02:10:00	-15,70	-17,35	-17,89	-17,80	-17,59	-17,30	-16,99	-16,70	-16,33	-15,93	-15,65	-15,39	-15,13	-15,77	0
16/01/2021 02:15:00	-15,71	-17,43	-17,92	-17,79	-17,43	-17,19	-16,91	-16,64	-16,26	-15,86	-15,60	-15,37	-15,15	-15,63	0
16/01/2021 02:20:00	-15,65	-17,28	-17,94	-17,99	-17,89	-17,45	-16,99	-16,58	-16,14	-15,69	-15,35	-15,01	-14,68	-15,64	0
16/01/2021 02:25:00	-15,77	-17,47	-18,02	-17,91	-17,66	-17,34	-17,00	-16,70	-16,31	-15,89	-15,61	-15,34	-15,08	-15,78	0
16/01/2021 02:30:00	-15,75	-17,44	-18,07	-17,94	-17,66	-17,42	-17,11	-16,80	-16,39	-15,96	-15,66	-15,40	-15,13	-15,82	0
16/01/2021 02:35:00	-15,74	-17,37	-18,02	-17,99	-17,75	-17,44	-17,07	-16,71	-16,26	-15,80	-15,49	-15,19	-14,90	-15,68	0
16/01/2021 02:40:00	-15,67	-17,37	-17,95	-17,89	-17,50	-17,29	-16,99	-16,65	-16,19	-15,74	-15,42	-15,14	-14,86	-15,73	0
16/01/2021 02:45:00	-15,63	-17,33	-17,94	-17,86	-17,52	-17,22	-16,83	-16,45	-15,98	-15,51	-15,18	-14,88	-14,58	-15,68	0
16/01/2021 02:50:00	-15,78	-17,48	-18,00	-17,81	-17,40	-17,23	-16,99	-16,74	-16,34	-15,93	-15,67	-15,46	-15,25	-15,75	0
16/01/2021 02:55:00	-15,78	-17,37	-17,90	-17,89	-17,65	-17,41	-17,13	-16,85	-16,47	-16,05	-15,75	-15,47	-15,18	-15,77	0
16/01/2021 03:00:00	-15,70	-17,31	-17,84	-17,83	-17,67	-17,42	-17,16	-16,92	-16,58	-16,20	-15,93	-15,67	-15,42	-15,74	0
16/01/2021 03:05:00	-15,65	-17,36	-17,97	-17,79	-17,53	-17,31	-17,06	-16,81	-16,44	-16,05	-15,80	-15,58	-15,36	-15,65	0
16/01/2021 03:10:00	-15,80	-17,33	-17,96	-17,94	-17,75	-17,51	-17,20	-16,87	-16,45	-16,00	-15,69	-15,40	-15,12	-15,72	0
16/01/2021 03:15:00	-15,74	-17,39	-17,99	-17,86	-17,68	-17,39	-17,09	-16,82	-16,46	-16,06	-15,80	-15,56	-15,32	-15,80	0
16/01/2021 03:20:00	-15,76	-17,36	-17,98	-17,88	-17,78	-17,47	-17,16	-16,89	-16,53	-16,15	-15,89	-15,64	-15,40	-15,65	0
16/01/2021 03:25:00	-15,61	-17,24	-17,78	-17,75	-17,58	-17,25	-16,91	-16,60	-16,23	-15,83	-15,54	-15,25	-14,97	-15,69	0
16/01/2021 03:30:00	-15,71	-17,25	-17,85	-17,89	-17,68	-17,38	-17,00	-16,61	-16,15	-15,68	-15,34	-15,01	-14,68	-15,73	0
16/01/2021 03:35:00	-15,65	-17,24	-17,78	-17,71	-17,55	-17,16	-16,76	-16,42	-16,03	-15,62	-15,33	-15,04	-14,76	-15,66	0
16/01/2021 03:40:00	-15,73	-17,31	-17,78	-17,69	-17,40	-17,10	-16,78	-16,49	-16,10	-15,70	-15,43	-15,19	-14,95	-15,65	0
16/01/2021 03:45:00	-15,75	-17,32	-17,78	-17,52	-17,20	-17,02	-16,83	-16,65	-16,33	-15,98	-15,76	-15,58	-15,41	-15,78	0
16/01/2021 03:50:00	-15,69	-17,30	-17,76	-17,64	-17,21	-16,94	-16,61	-16,28	-15,85	-15,41	-15,12	-14,86	-14,60	-15,72	0
16/01/2021 03:55:00	-15,71	-17,25	-17,84	-17,74	-17,43	-16,99	-16,49	-16,03	-15,53	-15,05	-14,71	-14,40	-14,09	-15,72	0
16/01/2021 04:00:00	-15,69	-17,25	-17,72	-17,72	-17,57	-17,10	-16,64	-16,25	-15,86	-15,44	-15,12	-14,81	-14,50	-15,68	0
16/01/2021 04:05:00	-15,66	-17,21	-17,68	-17,54	-17,26	-16,93	-16,58	-16,27	-15,88	-15,48	-15,21	-14,96	-14,72	-15,70	0
16/01/2021 04:10:00	-15,64	-17,17	-17,72	-17,60	-17,27	-17,00	-16,67	-16,34	-15,91	-15,48	-15,19	-14,94	-14,68	-15,67	0
16/01/2021 04:15:00	-15,63	-17,04	-17,57	-17,57	-17,45	-17,10	-16,73	-16,40	-16,02	-15,60	-15,30	-15,01	-14,71	-15,60	0
16/01/2021 04:20:00	-15,60	-17,09	-17,71	-17,76	-17,58	-17,22	-16,80	-16,37	-15,90	-15,43	-15,08	-14,75	-14,43	-15,60	0
16/01/2021 04:25:00	-15,59	-17,17	-17,76	-17,75	-17,58	-17,28	-16,94	-16,61	-16,21	-15,78	-15,47	-15,18	-14,89	-15,60	0
16/01/2021 04:30:00	-15,72	-17,40	-17,87	-17,51	-17,16	-16,90	-16,65	-16,45	-16,14	-15,80	-15,61	-15,47	-15,32	-15,71	0
16/01/2021 04:35:00	-15,77	-17,44	-17,92	-17,61	-17,23	-16,93	-16,62	-16,36	-15,99	-15,61	-15,39	-15,22	-15,04	-15,78	0
16/01/2021 04:40:00	-15,76	-17,40	-17,84	-17,49	-17,11	-17,02	-16,92	-16,82	-16,54	-16,23	-16,07	-15,96	-15,84	-15,75	0
16/01/2021 04:45:00	-15,79	-17,45	-17,92	-17,45	-17,05	-16,91	-16,78	-16,68	-16,40	-16,10	-15,96	-15,89	-15,81	-15,87	0
16/01/2021 04:50:00	-15,82	-17,44	-17,93	-17,83	-17,47	-17,20	-16,87	-16,54	-16,11	-15,67	-15,37	-15,11	-14,84	-15,77	0
16/01/2021 04:55:00	-15,82	-17,51	-18,05	-17,91	-17,63	-17,36	-17,05	-16,77	-16,38	-15,97	-15,70	-15,45	-15,20	-15,85	0
16/01/2021 05:00:00	-15,88	-17,54	-18,03	-18,00	-17,84	-17,43	-17,04	-16,71	-16,34	-15,93	-15,64	-15,35	-15,06	-15,98	0
